name,team,salary_2016_17,salary_2017_18,salary_2018_2019,salary_2019_2020,salary_2020_21,salary_2021_22,contract_type
Jamal Crawford,LAC,"$13,253,012","$14,264,988","$14,500,000",,,,Cap Space
Robin Lopez,CHI,"$13,219,250","$13,788,500","$14,357,750",,,,Cap Space
Michael Kidd-Gilchrist,CHO,"$13,000,000","$13,000,000","$13,000,000","$13,000,000",,,1st Round Pick
JR Smith,CLE,"$12,800,000","$13,760,000","$14,720,000","$15,680,000",,,Bird Rights
Brandon Knight,PHO,"$12,606,250","$13,618,750","$14,631,250","$15,643,750",,,
John Henson,MIL,"$12,517,606","$11,672,536","$10,827,466","$9,982,396",,,1st Round Pick
Miles Plumlee,MIL,"$12,500,000","$12,500,000","$12,500,000","$12,500,000",,,Bird Rights
Jordan Clarkson,LAL,"$12,500,000","$11,562,500","$12,500,000","$13,437,500",,,Cap Space
Arron Afflalo,SAC,"$12,500,000","$12,500,000",,,,,Cap Space
Tyson Chandler,PHO,"$12,415,000","$13,000,000","$13,585,000",,,,Cap Space
Eric Gordon,HOU,"$12,385,364","$12,943,020","$13,500,375","$14,057,730",,,Cap Space
Marvin Williams,CHO,"$12,250,000","$13,168,750","$14,087,500","$15,006,250",,,Cap Space
Serge Ibaka,ORL,"$12,250,000",,,,,,Bird Rights
Stephen Curry,GSW,"$12,112,359",,,,,,Bird Rights
Nikola Pekovic,MIN,"$12,100,000","$11,600,000",,,,,Bird Rights
Kenneth Faried,DEN,"$12,078,652","$12,921,348","$13,764,045",,,,1st Round Pick
Marcin Gortat,WAS,"$12,000,000","$12,782,609","$13,565,218",,,,Bird Rights
Kemba Walker,CHO,"$12,000,000","$12,000,000","$12,000,000",,,,1st Round Pick
Kyle Lowry,TOR,"$12,000,000","$12,000,000",,,,,Bird Rights
Amir Johnson,BOS,"$12,000,000",,,,,,Cap Space
Nikola Vucevic,ORL,"$11,750,000","$12,250,000","$12,750,000",,,,Bird Rights
Jeremy Lin,BRK,"$11,483,254","$12,000,000","$12,516,746",,,,Cap Space
Jrue Holiday,NOP,"$11,286,518",,,,,,Bird Rights
Courtney Lee,NYK,"$11,242,000","$11,747,890","$12,253,780","$12,759,670",,,Cap Space
Solomon Hill,NOP,"$11,241,218","$11,747,073","$12,252,928","$12,758,781",,,Cap Space
Wilson Chandler,DEN,"$11,200,000","$12,000,000","$12,800,000",,,,
Andre Iguodala,GSW,"$11,131,368",,,,,,Bird Rights
Derrick Favors,UTA,"$11,050,000","$12,000,000",,,,,1st Round Pick
Andrew Bogut,DAL,"$11,027,027",,,,,,Bird Rights
Austin Rivers,LAC,"$11,000,000","$11,825,000","$12,650,000",,,,Cap Space
Joe Johnson,UTA,"$11,000,000","$10,505,000",,,,,Cap Space
Jon Leuer,DET,"$10,991,957","$10,497,319","$10,002,681","$9,508,043",,,Cap Space
Monta Ellis,IND,"$10,770,000","$11,230,000","$11,700,000",,,,Cap Space
Mirza Teletovic,MIL,"$10,500,000","$10,500,000","$10,500,000",,,,Cap Space
Jared Dudley,PHO,"$10,470,000","$10,000,000","$9,530,000",,,,Cap Space
Zach Randolph,MEM,"$10,361,445",,,,,,Bird Rights
Al Jefferson,IND,"$10,230,179","$9,769,821","$10,000,000",,,,Cap Space
Tyreke Evans,NOP,"$10,203,755",,,,,,Bird Rights
Alec Burks,UTA,"$10,154,495","$10,845,506","$11,536,515",,,,1st Round Pick
Terrence Ross,TOR,"$10,000,000","$10,500,000","$10,500,000",,,,Rookie scale extension
Danny Green,SAS,"$10,000,000","$10,000,000","$10,000,000",,,,Bird Rights
Omer Asik,NOP,"$9,904,494","$10,595,505","$11,286,516","$11,977,527",,,Bird Rights
Iman Shumpert,CLE,"$9,700,000","$10,300,000","$11,000,000",,,,Bird Rights
Matthew Dellavedova,MIL,"$9,607,500","$9,607,500","$9,607,500","$9,607,500",,,Cap Space
Jerryd Bayless,PHI,"$9,424,084","$9,000,000","$8,575,916",,,,Cap Space
Trevor Booker,BRK,"$9,250,000","$9,125,000",,,,,Cap Space
Meyers Leonard,POR,"$9,213,484","$9,904,495","$10,595,506","$11,286,515",,,Cap Space
Gerald Henderson,PHI,"$9,000,000","$9,000,000",,,,,Cap Space
Deron Williams,DAL,"$9,000,000",,,,,,Cap Space
Maurice Harkless,POR,"$8,988,764","$9,662,921","$10,337,079","$11,011,236",,,Cap Space
Taj Gibson,CHI,"$8,950,000",,,,,,Bird Rights
Jeff Teague,IND,"$8,800,000",,,,,,Bird Rights
Tiago Splitter,ATL,"$8,550,000",,,,,,Bird Rights
Ersan Ilyasova,PHI,"$8,400,000",,,,,,Bird Rights
Dwight Powell,DAL,"$8,375,000","$9,003,125","$9,631,250","$10,259,375",,,Cap Space
Avery Bradley,BOS,"$8,269,663","$8,808,989",,,,,Bird Rights
E'Twaun Moore,NOP,"$8,081,363","$8,445,024","$8,808,685","$8,664,928",,,Cap Space
Darrell Arthur,DEN,"$8,070,175","$7,464,912","$7,464,912",,,,Cap Space
Kosta Koufos,SAC,"$8,046,500","$8,393,000","$8,739,500",,,,Cap Space
Garrett Temple,SAC,"$8,000,000","$8,000,000","$8,000,000",,,,Cap Space
Anthony Tolliver,SAC,"$8,000,000","$8,000,000",,,,,Cap Space
George Hill,UTA,"$8,000,000",,,,,,Bird Rights
Sergio Rodriguez,PHI,"$8,000,000",,,,,,Cap Space
Kevin Garnett,MIN,"$8,000,000",,,,,,
Tyler Zeller,BOS,"$8,000,000","$8,000,000",,,,,Cap Space
Trevor Ariza,HOU,"$7,806,971","$7,420,912",,,,,Bird Rights
Channing Frye,CLE,"$7,806,971","$7,420,912",,,,,Cap Space
Jose Calderon,LAL,"$7,708,427",,,,,,Cap Space
Al-Farouq Aminu,POR,"$7,680,965","$7,319,035","$6,957,105",,,,Cap Space
Cole Aldrich,MIN,"$7,643,979","$7,300,000","$6,956,021",,,,Cap Space
Corey Brewer,HOU,"$7,600,000","$7,600,000",,,,,Cap Space
Markieff Morris,WAS,"$7,400,000","$8,000,000","$8,600,000",,,,Bird Rights
Festus Ezeli,POR,"$7,400,000","$7,733,000",,,,,Cap Space
JJ Redick,LAC,"$7,377,500",,,,,,Bird Rights
Cory Joseph,TOR,"$7,330,000","$7,660,000","$8,000,000",,,,Cap Space
DJ Augustin,ORL,"$7,250,000","$7,250,000","$7,250,000","$7,250,000",,,Cap Space
Boban Marjanovic,DET,"$7,000,000","$7,000,000","$7,000,000",,,,Cap Space
Lou Williams,LAL,"$7,000,000","$7,000,000",,,,,Cap Space
Boris Diaw,UTA,"$7,000,000","$7,500,000",,,,,Bird Rights
Rodney Stuckey,IND,"$7,000,000","$7,500,000",,,,,Cap Space
Ed Davis,POR,"$6,666,667","$6,352,531",,,,,Cap Space
Isaiah Thomas,BOS,"$6,587,132","$6,261,395",,,,,
Victor Oladipo,OKC,"$6,552,960","$21,000,000","$21,000,000","$21,000,000","$21,000,000",,1st Round Pick
Jodie Meeks,ORL,"$6,540,000",,,,,,Cap Space
Jeremy Lamb,CHO,"$6,511,628","$7,000,000","$7,488,372",,,,Rookie scale extension
Carl Landry,PHI,"$6,500,000",,,,,,
Aron Baynes,DET,"$6,500,000","$6,500,000",,,,,Cap Space
Spencer Hawes,CHO,"$6,348,759","$6,021,175",,,,,MLE
Marco Belinelli,CHO,"$6,333,333","$6,333,333",,,,,Cap Space
Jae Crowder,BOS,"$6,286,408","$6,796,117","$7,305,825","$7,815,533",,,Bird Rights
Lance Thomas,NYK,"$6,191,000","$6,655,325","$7,119,650","$7,583,975",,,Cap Space
Tarik Black,LAL,"$6,191,000","$6,655,325",,,,,Cap Space
Matt Barnes,SAC,"$6,125,000","$6,400,625",,,,,Cap Space
Andrew Nicholson,WAS,"$6,088,993","$6,362,998","$6,637,002","$6,911,007",,,Cap Space
Patrick Patterson,TOR,"$6,050,000",,,,,,Bird Rights
Andrew Wiggins,MIN,"$6,006,600","$7,574,322",,,,,1st Round Pick
Ish Smith,DET,"$6,000,000","$6,000,000","$6,000,000",,,,Cap Space
Patrick Beverley,HOU,"$6,000,000","$5,500,000","$5,000,000",,,,Bird Rights
Wayne Ellington,MIA,"$6,000,000","$6,270,000",,,,,Cap Space
Ramon Sessions,CHO,"$6,000,000","$6,270,000",,,,,Cap Space
Alex Abrines,OKC,"$5,994,764","$5,725,000","$5,455,236",,,,Cap Space
Karl-Anthony Towns,MIN,"$5,960,160","$6,216,840","$7,839,435",,,,1st round pick
Ben Simmons,PHI,"$5,903,160","$6,168,840","$6,434,520","$8,113,930",,,1st Round pick
Otto Porter,WAS,"$5,893,981",,,,,,1st Round Pick
Josh McRoberts,MIA,"$5,782,450","$6,021,175",,,,,MLE
Shaun Livingston,GSW,"$5,782,450",,,,,,MLE
Nikola Mirotic,CHI,"$5,782,450",,,,,,Cap Space
Brandan Wright,MEM,"$5,700,000","$6,000,000",,,,,MLE
Tyler Johnson,MIA,"$5,628,000","$5,881,260","$19,245,370","$19,245,370",,,Cap Space
Wesley Johnson,LAC,"$5,628,000","$5,881,260","$6,134,000",,,,Cap Space
Jared Sullinger,TOR,"$5,628,000",,,,,,Cap Space
Tony Allen,MEM,"$5,505,618",,,,,,Bird Rights
Deron Williams,BRK,"$5,500,000","$5,500,000","$5,500,000","$5,500,000",,,
Nick Young,LAL,"$5,443,918","$5,668,667",,,,,Cap Space
Josh Smith,DET,"$5,400,000","$5,400,000","$5,400,000","$5,400,000",,,
Jabari Parker,MIL,"$5,374,320","$6,782,392",,,,,1st Round Pick
D'Angelo Russell,LAL,"$5,332,800","$5,562,360","$7,019,698",,,,1st round pick
Cody Zeller,CHO,"$5,318,313","$12,584,270","$13,528,090","$14,471,910","$15,415,730",,1st Round Pick
PJ Tucker,PHO,"$5,300,000",,,,,,Cap Space
Brandon Ingram,LAL,"$5,281,680","$5,519,400","$5,757,120","$7,265,485",,,1st Round pick
Kyle Korver,ATL,"$5,239,437",,,,,,Bird Rights
Darren Collison,SAC,"$5,229,454",,,,,,MLE
Langston Galloway,NOP,"$5,200,000","$5,430,000",,,,,Cap Space
Jason Smith,WAS,"$5,000,000","$5,225,000","$5,450,000",,,,Cap Space
CJ Watson,ORL,"$5,000,000","$5,000,000",,,,,Cap Space
Brandon Jennings,NYK,"$5,000,000",,,,,,Cap Space
Roy Hibbert,CHO,"$5,000,000",,,,,,Cap Space
Luis Scola,BRK,"$5,000,000",,,,,,Cap Space
Jonas Jerebko,BOS,"$5,000,000",,,,,,Bird Rights
Kyle Singler,OKC,"$4,837,500","$4,666,500","$4,996,000","$5,333,500",,,Bird Rights
Mike Dunleavy,CLE,"$4,837,500","$5,175,000",,,,,Early Bird Rights
